Reception Time,Internal Clock,T internal,T external,Pressure,Humidity Percentage,CO Level,O3 Level,CO2 Level,HCOH Level,CH4 Level,NH3 Level,NO2 Level,H2 Level,C3H8 Level,C4H10 Level,C2H6OH Level,p25 Level,p10 Level,Light Level,RSSI
2022-03-17 14:46:16,001156,22.45,19.37,1.007,58.0,2.9,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,903.4,40011.0,-66
2022-03-17 14:46:18,001158,25.93,19.37,1.008,58.0,2.9,100.0,0.0,0.83,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,703.4,11.0,-66
2022-03-17 14:46:21,001201,29.94,19.37,1.007,59.0,2.9,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,503.3,30011.0,-71
2022-03-17 14:46:23,001204,22.37,19.37,1.007,59.0,2.9,100.0,0.0,0.83,5000.0,2.9,0.03,38.7,60518.0,7025.9,536.2,801.1,503.3,40011.0,-75
2022-03-17 14:46:26,001206,25.93,19.37,1.007,59.0,3.0,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10518.0,7025.9,536.0,1.1,503.5,40011.0,-77
2022-03-17 14:46:28,001209,30.53,19.37,1.007,59.0,2.9,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,503.5,50011.0,-70
2022-03-17 14:46:31,001211,22.53,19.37,1.007,59.0,2.9,100.0,0.0,0.77,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,503.6,50011.0,-67
2022-03-17 14:46:33,001213,24.22,19.37,1.007,59.0,2.9,100.0,0.0,0.83,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,403.6,10011.0,-68
2022-03-17 14:46:36,001216,30.71,19.39,1.007,59.0,3.0,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,904.4,40011.0,-71
2022-03-17 14:46:38,001219,28.42,19.37,1.007,59.0,3.0,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,604.4,60011.0,-70
2022-03-17 14:46:41,001221,32.8,19.37,1.007,59.0,2.9,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,404.3,80011.0,-68
2022-03-17 14:46:43,001224,36.25,19.37,1.007,59.0,2.9,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,404.4,70011.0,-71
2022-03-17 14:46:46,001226,39.64,19.39,1.007,59.0,2.9,100.0,0.0,0.77,5000.0,2.9,0.03,38.7,60512.0,6025.6,936.2,801.1,504.4,20011.0,-72
2022-03-17 14:46:48,001228,36.72,19.37,1.007,59.0,2.9,100.0,0.0,0.83,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,204.3,50011.0,-68
2022-03-17 14:46:51,001231,35.14,19.39,1.007,59.0,3.0,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,204.3,70011.0,-67
2022-03-17 14:46:53,001234,37.39,19.37,1.007,59.0,2.9,100.0,0.0,0.893,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,304.4,90011.0,-66
2022-03-17 14:46:56,001236,39.54,19.39,1.007,58.0,2.9,100.0,0.0,0.958,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,304.3,80011.0,-69
2022-03-17 14:46:58,001239,30.96,19.39,1.007,58.0,3.0,100.0,0.0,0.83,5000.0,2.9,0.03,38.4,10512.0,6025.6,936.0,1.1,404.5,20011.0,-67
